"hmdb_Id"	"kegg_Id"	"super_class"	"class"
"1"	"HMDB00001"	"C01152"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"2"	"HMDB00002"	"C00986"	"Aliphatic Acyclic Compounds"	"Alkylamines"
"3"	"HMDB00005"	"C00109"	"Organic Acids and Derivatives"	"Keto-Acids and Derivatives"
"4"	"HMDB00008"	"C05984"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"5"	"HMDB00010"	"C05299"	"Lipids"	"Steroids and Steroid Derivatives"
"6"	"HMDB00011"	"C01089"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"7"	"HMDB00012"	"C00526"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleosides and Analogues"
"8"	"HMDB00014"	"C00881"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleosides and Analogues"
"9"	"HMDB00015"	"C05488"	"Lipids"	"Steroids and Steroid Derivatives"
"10"	"HMDB00016"	"C03205"	"Lipids"	"Steroids and Steroid Derivatives"
"11"	"HMDB00017"	"C00847"	"Aromatic Heteromonocyclic Compounds"	"Pyridines and Derivatives"
"12"	"HMDB00019"	"C00141"	"Lipids"	"Fatty Acids and Conjugates"
"13"	"HMDB00020"	"C00642"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"14"	"HMDB00021"	"C02515"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"15"	"HMDB00022"	"C05587"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"16"	"HMDB00023"	"C06001"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"17"	"HMDB00024"	"C06125"	"Lipids"	"Sphingolipids"
"18"	"HMDB00026"	"C02642"	"Aliphatic Acyclic Compounds"	"Alkylamines"
"19"	"HMDB00027"	"C00272"	"Aromatic Heteropolycyclic Compounds"	"Pteridines and Derivatives"
"20"	"HMDB00030"	"C00120"	"Aliphatic Heteropolycyclic Compounds"	"Thienoimidazolidines"
"21"	"HMDB00031"	"C00523"	"Lipids"	"Steroids and Steroid Derivatives"
"22"	"HMDB00032"	"C01164"	"Lipids"	"Steroids and Steroid Derivatives"
"23"	"HMDB00033"	"C00386"	"Amino Acids, Peptides, and Analogues"	"Peptidomimetics"
"24"	"HMDB00034"	"C00147"	"Aromatic Heteropolycyclic Compounds"	"Imidazopyrimidines"
"25"	"HMDB00036"	"C05122"	"Lipids"	"Steroids and Steroid Derivatives"
"26"	"HMDB00037"	"C01780"	"Lipids"	"Steroids and Steroid Derivatives"
"27"	"HMDB00038"	"C02953"	"Aromatic Heteropolycyclic Compounds"	"Pteridines and Derivatives"
"28"	"HMDB00039"	"C00246"	"Lipids"	"Fatty Acids and Conjugates"
"29"	"HMDB00042"	"C00033"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"30"	"HMDB00043"	"C00719"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"31"	"HMDB00044"	"C00072"	"Aliphatic Heteromonocyclic Compounds"	"Dihydrofurans"
"32"	"HMDB00045"	"C00020"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleotides"
"33"	"HMDB00048"	"C05402"	"Carbohydrates and Carbohydrate Conjugates"	"Disaccharides"
"34"	"HMDB00050"	"C00212"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleosides and Analogues"
"35"	"HMDB00051"	"C00014"	"Homogeneous Non-metal Compounds"	"Other Non-metal Organides"
"36"	"HMDB00052"	"C03406"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"37"	"HMDB00053"	"C00280"	"Lipids"	"Steroids and Steroid Derivatives"
"38"	"HMDB00054"	"C00486"	"Aromatic Heteropolycyclic Compounds"	"Tetrapyrroles and Derivatives"
"39"	"HMDB00055"	"C06422"	"Carbohydrates and Carbohydrate Conjugates"	"Disaccharides"
"40"	"HMDB00056"	"C00099"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"41"	"HMDB00058"	"C00575"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleotides"
"42"	"HMDB00060"	"C00164"	"Organic Acids and Derivatives"	"Keto-Acids and Derivatives"
"43"	"HMDB00061"	"C00054"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleotides"
"44"	"HMDB00062"	"C15025"	"Aliphatic Acyclic Compounds"	"Alkylamines"
"45"	"HMDB00063"	"C00735"	"Lipids"	"Steroids and Steroid Derivatives"
"46"	"HMDB00064"	"C00300"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"47"	"HMDB00067"	"C00187"	"Lipids"	"Steroids and Steroid Derivatives"
"48"	"HMDB00068"	"C00788"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"49"	"HMDB00070"	"C00408"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"50"	"HMDB00071"	"C05512"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleosides and Analogues"
"51"	"HMDB00072"	"C00417"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"52"	"HMDB00073"	"C03758"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"53"	"HMDB00076"	"C00429"	"Aliphatic Heteromonocyclic Compounds"	"Diazines"
"54"	"HMDB00077"	"C01227"	"Lipids"	"Steroids and Steroid Derivatives"
"55"	"HMDB00078"	"C01419"	"Amino Acids, Peptides, and Analogues"	"Peptides"
"56"	"HMDB00079"	"C00906"	"Aliphatic Heteromonocyclic Compounds"	"Diazines"
"57"	"HMDB00082"	"C00063"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"58"	"HMDB00085"	"C00330"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleosides and Analogues"
"59"	"HMDB00086"	"C00670"	"Lipids"	"Glycerophospholipids"
"60"	"HMDB00087"	"C00543"	"Aliphatic Acyclic Compounds"	"Alkylamines"
"61"	"HMDB00089"	"C00475"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleosides and Analogues"
"62"	"HMDB00092"	"C01026"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"63"	"HMDB00094"	"C00158"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"64"	"HMDB00095"	"C00055"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"65"	"HMDB00097"	"C00114"	"Aliphatic Acyclic Compounds"	"Alcohols and Polyols"
"66"	"HMDB00098"	"C00181"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"67"	"HMDB00099"	"C02291"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"68"	"HMDB00101"	"C00559"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleosides and Analogues"
"69"	"HMDB00107"	"C01697"	"Lipids"	"Fatty Alcohols"
"70"	"HMDB00108"	"C00469"	"Aliphatic Acyclic Compounds"	"Alcohols and Polyols"
"71"	"HMDB00112"	"C00334"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"72"	"HMDB00114"	"C01233"	"Organophosphorus Compounds"	"Organic Phosphoric Acids and Derivatives"
"73"	"HMDB00115"	"C00160"	"Organic Acids and Derivatives"	"Hydroxy Acids and Derivatives"
"74"	"HMDB00118"	"C05582"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"75"	"HMDB00119"	"C00048"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"76"	"HMDB00121"	"C00504"	"Aromatic Heteropolycyclic Compounds"	"Pteridines and Derivatives"
"77"	"HMDB00122"	"C00031"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"78"	"HMDB00123"	"C00037"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"79"	"HMDB00124"	"C00085"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"80"	"HMDB00125"	"C00051"	"Amino Acids, Peptides, and Analogues"	"Peptides"
"81"	"HMDB00126"	"C00093"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"82"	"HMDB00127"	"C00191"	"Carbohydrates and Carbohydrate Conjugates"	"Sugar Acids and Derivatives"
"83"	"HMDB00128"	"C00581"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"84"	"HMDB00130"	"C00544"	"Aromatic Homomonocyclic Compounds"	"Phenylacetic Acid Derivatives"
"85"	"HMDB00131"	"C00116"	"Carbohydrates and Carbohydrate Conjugates"	"Sugar Alcohols"
"86"	"HMDB00132"	"C00242"	"Aromatic Heteropolycyclic Compounds"	"Imidazopyrimidines"
"87"	"HMDB00133"	"C00387"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleosides and Analogues"
"88"	"HMDB00134"	"C00122"	"Lipids"	"Fatty Acids and Conjugates"
"89"	"HMDB00138"	"C01921"	"Lipids"	"Steroids and Steroid Derivatives"
"90"	"HMDB00139"	"C00258"	"Carbohydrates and Carbohydrate Conjugates"	"Sugar Acids and Derivatives"
"91"	"HMDB00140"	"C01190"	"Lipids"	"Sphingolipids"
"92"	"HMDB00142"	"C00058"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"93"	"HMDB00143"	"C00984"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"94"	"HMDB00145"	"C00468"	"Lipids"	"Steroids and Steroid Derivatives"
"95"	"HMDB00148"	"C00025"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"96"	"HMDB00149"	"C00189"	"Aliphatic Acyclic Compounds"	"Alkylamines"
"97"	"HMDB00150"	"C00198"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"98"	"HMDB00151"	"C00951"	"Lipids"	"Steroids and Steroid Derivatives"
"99"	"HMDB00152"	"C00628"	"Aromatic Homomonocyclic Compounds"	"Benzoic Acid and Derivatives"
"100"	"HMDB00153"	"C05141"	"Lipids"	"Steroids and Steroid Derivatives"
"101"	"HMDB00156"	"C00149"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"102"	"HMDB00157"	"C00262"	"Aromatic Heteropolycyclic Compounds"	"Imidazopyrimidines"
"103"	"HMDB00158"	"C00082"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"104"	"HMDB00159"	"C00079"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"105"	"HMDB00161"	"C00041"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"106"	"HMDB00162"	"C00148"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"107"	"HMDB00163"	"C00208"	"Carbohydrates and Carbohydrate Conjugates"	"Disaccharides"
"108"	"HMDB00164"	"C00218"	"Aliphatic Acyclic Compounds"	"Alkylamines"
"109"	"HMDB00167"	"C00188"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"110"	"HMDB00168"	"C00152"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"111"	"HMDB00169"	"C00159"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"112"	"HMDB00172"	"C00407"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"113"	"HMDB00174"	"C01019"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
